动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-04-23 01:09:58,'2026042301095339429289462649,入账,3.17,聚合账户,货款结算入账,小店自卖,'6925418084574526795,'6925418084574526795,'SS76280606587437555630193,2026-04-07 23:32:51,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,3.19,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:58,'2026042301095419303839132649,入账,1.2,聚合账户,货款结算入账,小店自卖,'6951882656080860506,'6951882656080860506,'SS76307391597203955540085,2026-04-08 13:22:26,'3809994243599106166,韩系小众彩色炫彩花朵发夹女高级感侧边碎发刘海夹子发卡绝美头饰,,,普通订单,2.61,0,0,0,0,0,0,0,0,0,0,-1.4,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:58,'2026042301095210915722872649,入账,5.8,聚合账户,货款结算入账,小店自卖,'6952081599298409952,'6952081599298409952,'SS76307757496161246990050,2026-04-14 22:15:00,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.84,0.7,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:58,'2026042301095316485750392649,入账,4.12,聚合账户,货款结算入账,小店自卖,'6952036936220153131,'6952036936220153131,'SS76306270646732234640128,2026-04-13 12:17:23,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,4.14,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:58,'2026042301095223999657322649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6951838609246721655,'6951838609246721655,'SS76280544506959140110216,2026-04-05 18:00:10,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.14,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:59,'2026042301095440146744862649,入账,2.58,聚合账户,货款结算入账,小店自卖,'6952014211060930189,'6952014211060930189,'SS76306401529766876310144,2026-04-12 22:21:40,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,2.6,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:59,'2026042301095532928899102649,入账,2.58,聚合账户,货款结算入账,小店自卖,'6952016445556987227,'6952016445556987227,'SS76306401470269404260172,2026-04-12 21:54:09,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,2.6,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:59,'2026042301095440983598582649,入账,2.73,聚合账户,货款结算入账,小店自卖,'6925552110260158141,'6925552110260158141,'SS76306391946925020590034,2026-04-12 23:51:44,'3809047765883945239,简约复古豹纹波点褶皱高级马尾扭扭香蕉发夹后脑勺发卡春夏发饰,,,普通订单,2.75,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:59,'2026042301095340313492982649,入账,2.27,聚合账户,货款结算入账,小店自卖,'6925540664272387454,'6925540664272387454,'SS76306398393027466740191,2026-04-12 22:41:05,'3806075116023054608,气质黑色碎钻满天星抓夹女后脑勺半扎发鲨鱼夹发量少百搭发卡头饰,,,普通订单,2.28,0.58,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:09:59,'2026042301095335625864192649,入账,3.46,聚合账户,货款结算入账,小店自卖,'6925547363573595827,'6925547363573595827,'SS76306633792081272820220,2026-04-13 00:35:33,'3797898284194988412,甜美自制米菲兔毛绒卡通发帖刘海贴甜美少女讹钱无痕魔术贴发饰,,,普通订单,3.48,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:08,'2026042301100431925212662649,入账,2.35,聚合账户,货款结算入账,小店自卖,'6925562461190847837,'6925562461190847837,'SS76292283150490056190023,2026-04-13 08:28:05,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,3.36,0,0,0,0,0,0,0,0,0,0,-1,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:08,'2026042301100321364741212649,入账,3.46,聚合账户,货款结算入账,小店自卖,'6925562691683908967,'6925562691683908967,'SS76307467581255852020170,2026-04-13 10:09:39,'3797898284194988412,甜美自制米菲兔毛绒卡通发帖刘海贴甜美少女讹钱无痕魔术贴发饰,,,普通订单,3.48,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:08,'2026042301100412263099072649,入账,4.73,聚合账户,货款结算入账,小店自卖,'6952011632278378179,'6952011632278378179,'SS76307324135233948670203,2026-04-12 16:15:46,'3800893134901215424,2026新款发夹女款网红爆款牡丹花高级百搭流苏发夹高颅顶鲨鱼抓夹,,,普通订单,4.76,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:08,'2026042301100412310164672649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6951827683980809626,'6951827683980809626,'SS76280545154217085980232,2026-04-05 14:15:36,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.14,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:08,'2026042301100418385800222649,入账,2.1,聚合账户,货款结算入账,小店自卖,'6952028134026909421,'6952028134026909421,'SS76307478783941844820112,2026-04-13 09:16:31,'3810365968799105077,新款小号水钻蝴蝶结发夹精致侧边夹刘海夹碎发卡时尚鸭嘴夹发饰品,,,普通订单,2.11,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:10,'2026042301100541255245212649,入账,3.17,聚合账户,货款结算入账,小店自卖,'6951723717894543048,'6951723717894543048,'SS76280454173899535760090,2026-04-01 01:34:07,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,3.19,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:10,'2026042301100519854300542649,入账,2.27,聚合账户,货款结算入账,小店自卖,'6925543089434033249,'6925543089434033249,'SS76306402785340134830173,2026-04-13 02:05:59,'3806075116023054608,气质黑色碎钻满天星抓夹女后脑勺半扎发鲨鱼夹发量少百搭发卡头饰,,,普通订单,2.28,0.58,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:10,'2026042301100432886623102649,入账,4.08,聚合账户,货款结算入账,小店自卖,'6925542032037281007,'6925542032037281007,'SS76307552786861102600133,2026-04-12 18:00:38,'3806097260857655383,碎发前脸抓夹约会造型百搭发饰满钻蝴蝶结黑色短发过渡期专用头饰,,,普通订单,4.29,0,0,0,0,0,0,0,0,0,0,0,-0.21,0,0,0,0,0,0,,0,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:11,'2026042301100528662380062649,入账,7.56,聚合账户,货款结算入账,小店自卖,'6952018904381723811,'6952018904381723811,'SS76307407746189888060012,2026-04-13 06:59:15,'3807748394328391947,毛绒豹纹珍珠发箍发卡网红爆款2026最新款高颅带齿头饰箍纹理洗脸,,,普通订单,7.61,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:11,'2026042301100635874737052649,入账,3.46,聚合账户,货款结算入账,小店自卖,'6952025006728680881,'6952025006728680881,'SS76306633543998348950220,2026-04-12 22:01:40,'3797898284194988412,甜美自制米菲兔毛绒卡通发帖刘海贴甜美少女讹钱无痕魔术贴发饰,,,普通订单,3.48,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:23,'2026042301101930412477862649,入账,4.12,聚合账户,货款结算入账,小店自卖,'6951851431083906543,'6951851431083906543,'SS76279106673132180580221,2026-04-06 21:24:55,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,4.14,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:23,'2026042301102005208804252649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6951845528622863667,'6951845528622863667,'SS76280545822815237660210,2026-04-05 21:43:42,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.14,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:23,'2026042301101806009001372649,入账,1.66,聚合账户,货款结算入账,小店自卖,'6952022964932253612,'6952022964932253612,'SS76292945903531789300053,2026-04-12 22:28:33,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,3.36,0,0,0,0,0,0,0,0,0,0,-1.69,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:23,'2026042301102005796175462649,入账,3.34,聚合账户,货款结算入账,小店自卖,'6925543050144021585,'6925543050144021585,'SS76307466371377607780250,2026-04-13 01:09:11,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,3.36,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:23,'2026042301102037623898062649,入账,3.34,聚合账户,货款结算入账,小店自卖,'6925572350546640022,'6925572350546640022,'SS76307303632241958590119,2026-04-13 13:50:23,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,3.36,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:30,'2026042301102506254103042649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6952013655514551897,'6952013655514551897,'SS76306635093285937100149,2026-04-12 16:30:22,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.14,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:30,'2026042301102524216046172649,入账,5.8,聚合账户,货款结算入账,小店自卖,'6925695899186069285,'6925695899186069285,'SS76308584306093591400154,2026-04-18 23:35:55,'3806824398753759257,韩系复古蝴蝶结头绳扎头绳女爆款2026新款发绳头花新款发圈高级感,,,普通订单,5.84,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:30,'2026042301102507512724992649,入账,3.34,聚合账户,货款结算入账,小店自卖,'6952002776439133432,'6952002776439133432,'SS76307060407593050020076,2026-04-12 15:53:19,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,3.36,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:30,'2026042301102703925324892649,入账,3.17,聚合账户,货款结算入账,小店自卖,'6925561802544806916,'6925561802544806916,'SS76307467322672909200230,2026-04-13 13:14:09,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,3.19,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:30,'2026042301102519514373472649,入账,3.17,聚合账户,货款结算入账,小店自卖,'6951816406607075243,'6951816406607075243,'SS76280546256820969050147,2026-04-05 17:44:06,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,3.19,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:10:30,'2026042301102515604288102649,入账,2.27,聚合账户,货款结算入账,小店自卖,'6925561154557738078,'6925561154557738078,'SS76307436777530007190250,2026-04-13 08:56:42,'3806075116023054608,气质黑色碎钻满天星抓夹女后脑勺半扎发鲨鱼夹发量少百搭发卡头饰,,,普通订单,2.28,0.58,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:27:01,'2026042301265441069612022649,入账,4.37,聚合账户,货款结算入账,小店自卖,'6952027709947909217,'6952027709947909217,'SS76306669107656013200007,2026-04-12 23:27:53,'3811851252166426807,刘海梳新款不规则立体皮质倒叉梳蝴蝶结高颅顶公主头发夹倒叉梳夹,,,普通订单,4.4,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:27:02,'2026042301265419760133622649,入账,3.38,聚合账户,货款结算入账,小店自卖,'6925599819605704208,'6925599819605704208,'SS76307455720693768060131,2026-04-15 10:38:51,'3809994243599106166,韩系小众彩色炫彩花朵发夹女高级感侧边碎发刘海夹子发卡绝美头饰,,,普通订单,3.4,0.5,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:27:02,'2026042301265622650106942649,入账,2.63,聚合账户,货款结算入账,小店自卖,'6952016341899482422,'6952016341899482422,'SS76306650089882918460000,2026-04-12 21:19:54,'3800893134901215424,2026新款发夹女款网红爆款牡丹花高级百搭流苏发夹高颅顶鲨鱼抓夹,,,普通订单,2.77,0,0,0,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,0,0,,0,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:27:02,'2026042301265416549688422649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6925545311378636093,'6925545311378636093,'SS76306634953883039180188,2026-04-13 00:00:54,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.14,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:27:02,'2026042301265338769134172649,入账,2.58,聚合账户,货款结算入账,小店自卖,'6925542241560854477,'6925542241560854477,'SS76306400080221642760175,2026-04-12 19:29:08,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,2.6,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:27:02,'2026042301265331729137102649,入账,5.3,聚合账户,货款结算入账,小店自卖,'6925641665138425124,'6925641665138425124,'SS76308129168492634010032,2026-04-16 18:59:25,'3801465007749857580,红色樱桃流苏小抓夹后脑勺半扎顶夹发饰短发过渡期专用夹头发头饰,,,普通订单,5.33,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:27:02,'2026042301265423630525902649,入账,6.11,聚合账户,货款结算入账,小店自卖,'6925555726981823668,'6925555726981823668,'SS76306666353889124100015,2026-04-12 20:47:54,'3794404564439007278,2026秋冬新款甜美百搭齿梳防滑发箍女日常外戴高发箍高颅顶显脸小,,,普通订单,6.15,0.4,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 01:27:02,'2026042301264934613376462649,入账,2.89,聚合账户,货款结算入账,小店自卖,'6925556962525675313,'6925556962525675313,'SS76307440085869202430108,2026-04-13 13:58:12,'3806075116023054608,气质黑色碎钻满天星抓夹女后脑勺半扎发鲨鱼夹发量少百搭发卡头饰,,,普通订单,3.04,0,0,0,0,0,0,0,0,0,0,0,-0.15,0,0,0,0,0,0,,0,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:11:57,'2026042303115013387699472649,入账,3.53,聚合账户,货款结算入账,小店自卖,'6925552832707853341,'6925552832707853341,'SS76306795712323466430079,2026-04-13 09:48:15,'3812204238348616143,复古气质油画质感花朵珍珠鲨鱼夹抓夹女2026新款后脑勺发夹盘发器,,,普通订单,3.55,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:11:57,'2026042303115405714908432649,入账,2.74,聚合账户,货款结算入账,小店自卖,'6952046439782159602,'6952046439782159602,'SS76305073167253878030048,2026-04-13 16:45:19,'3808869462422192460,大人专用发箍显蓬松高颅顶时尚百搭简约格纹布艺带齿个性压头箍女,,,普通订单,0.01,0,0,2.87,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,0,0,,0,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:11:57,'2026042303115116998899292649,入账,3.91,聚合账户,货款结算入账,小店自卖,'6952020297088701482,'6952020297088701482,'SS76306656938391309070039,2026-04-12 15:01:57,'3806824398753759257,韩系复古蝴蝶结头绳扎头绳女爆款2026新款发绳头花新款发圈高级感,,,普通订单,3.93,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:11:57,'2026042303115138807025022649,入账,3.34,聚合账户,货款结算入账,小店自卖,'6952059827346610122,'6952059827346610122,'SS76306935818081902490013,2026-04-13 19:35:26,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,0.01,0,0,3.35,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:11:57,'2026042303115102447777742649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6925569699662494797,'6925569699662494797,'SS76307468129322273700120,2026-04-13 11:27:07,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.14,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:10,'2026042303120527181389072649,入账,1.87,聚合账户,货款结算入账,小店自卖,'6952029080755312586,'6952029080755312586,'SS76306384149520266620206,2026-04-12 17:44:42,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,1.88,0.25,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:10,'2026042303120426858132582649,入账,2.58,聚合账户,货款结算入账,小店自卖,'6925542021461540366,'6925542021461540366,'SS76306399978267118540192,2026-04-12 17:46:03,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,0.01,0,0,2.59,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:10,'2026042303120526511815782649,入账,1.08,聚合账户,货款结算入账,小店自卖,'6925649591071375204,'6925649591071375204,'SS76306317063078220900243,2026-04-17 10:34:42,'3800893134901215424,2026新款发夹女款网红爆款牡丹花高级百搭流苏发夹高颅顶鲨鱼抓夹,,,普通订单,0.01,0,0,1.13,0,0,0,0,0,0,0,0,-0.06,0,0,0,0,0,0,,0,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:10,'2026042303120518041249742649,入账,2.75,聚合账户,货款结算入账,小店自卖,'6925426675349552138,'6925426675349552138,'SS76306409024823462810167,2026-04-07 20:47:12,'3800893134901215424,2026新款发夹女款网红爆款牡丹花高级百搭流苏发夹高颅顶鲨鱼抓夹,,,普通订单,0.01,0,0,2.76,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:10,'2026042303120431421281742649,入账,3.03,聚合账户,货款结算入账,小店自卖,'6951841116543391332,'6951841116543391332,'SS76280546359542259350165,2026-04-05 20:48:10,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,0.19,0,0,3,0,0,0,0,0,0,0,0,-0.16,0,0,0,0,0,0,,0,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:24,'2026042303121819098219902649,入账,4.1,聚合账户,货款结算入账,小店自卖,'6925547513462882143,'6925547513462882143,'SS76307407188477916500024,2026-04-13 05:57:53,'3812199902444913040,高级感前额侧边碎发夹刘海夹小号闪钻蝴蝶结鸭嘴夹子水晶发卡头饰,,,普通订单,4.32,0,0,0,0,0,0,0,0,0,0,0,-0.22,0,0,0,0,0,0,,0,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:24,'2026042303121735935690752649,入账,3.01,聚合账户,货款结算入账,小店自卖,'6952116508151191113,'6952116508151191113,'SS76306923315153308660188,2026-04-15 22:15:36,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,0.17,0,0,3,0,0,0,0,0,0,0,0,-0.16,0,0,0,0,0,0,,0,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:24,'2026042303121610997929422649,入账,3.19,聚合账户,货款结算入账,小店自卖,'6952021539484931544,'6952021539484931544,'SS76307332031793897310212,2026-04-13 07:12:28,'3798826901154431049,虞书欣尖叫之夜同款发扣2025新款金属编发夹水钻圆形发环发夹头饰,,,普通订单,0.36,0,0,3,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,0,0,,0,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:24,'2026042303121810961390182649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6951837209440228894,'6951837209440228894,'SS76280546097944499580117,2026-04-05 22:42:42,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,0.14,0,0,5,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:24,'2026042303121927012959222649,入账,4.12,聚合账户,货款结算入账,小店自卖,'6952077162286421062,'6952077162286421062,'SS76305283029926098190214,2026-04-14 20:10:15,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,4.14,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:37,'2026042303123212249828302649,入账,3.46,聚合账户,货款结算入账,小店自卖,'6925548858577223534,'6925548858577223534,'SS76306632821911598580098,2026-04-12 19:21:58,'3797898284194988412,甜美自制米菲兔毛绒卡通发帖刘海贴甜美少女讹钱无痕魔术贴发饰,,,普通订单,3.48,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,是-商品卡免佣,0.15,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:37,'2026042303123105543043072649,入账,5.11,聚合账户,货款结算入账,小店自卖,'6925363802892631561,'6925363802892631561,'SS76280545346256942430187,2026-04-05 19:07:12,'3807943134646763828,可爱小猫无痕刘海贴2026款魔术贴发饰少女前额侧边碎发贴整理神器,,,普通订单,5.14,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,是-商品卡免佣,0.22,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:37,'2026042303123119518633062649,入账,2.74,聚合账户,货款结算入账,小店自卖,'6925577593755303309,'6925577593755303309,'SS76306928294358059870079,2026-04-13 21:30:27,'3800893134901215424,2026新款发夹女款网红爆款牡丹花高级百搭流苏发夹高颅顶鲨鱼抓夹,,,普通订单,2.88,0,0,0,0,0,0,0,0,0,0,0,-0.14,0,0,0,0,0,0,,0,义乌市诗柚电子商务商行（个体工商户）,订单结算
2026-04-23 03:12:37,'2026042303123016179699462649,入账,6.52,聚合账户,货款结算入账,小店自卖,'6925656526873984153,'6925656526873984153,'SS76307819051979412630154,2026-04-17 12:32:44,'3797759677018800366,秋冬新款扭扭麻花发箍百搭爆款洋气头箍头饰发卡女发箍专用显脸小,,,普通订单,6.56,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,义乌市诗柚电子商务商行（个体工商户）,订单结算
